Id,Label,cOrder
317,Sabta,34
318,Raama,35
319,Sheba,37
320,Dedan,38
321,Sabteca,36
322,Nimrod[1],39
323,Mizraim,29
324,the Ludim,40
325,the Anamim,41
326,the Lehabim,42
327,the Naphtuhim,43
328,the Pathrusim,44
329,the Casluhim[2],45
330,the Caphtorim,46
331,Put,30
332,Canaan,31
333,Sidon[3],47
334,Heth,48
335,the Jebusites,49
336,the Amorites,50
337,the Girgashites,51
338,the Hivites,52
339,the Archites,53
340,the Sinites,54
341,the Arvadites,55
342,the Zemarites,56
343,the Hamathites,57
344,Japheth,13
345,Gomer,14
346,Ashkenaz,21
347,Diphath,22
348,Togarmah,23
349,Magog,15
350,Madai,16
351,Javan,17
352,Elishah,24
353,Tarshish,25
354,Kittim,26
355,Rodanim,27
356,Tubal,18
357,Meshech,19
358,Tiras,20
359,Seir[16],134
360,Lotan,135
361,Hori,123
362,Homam,124
363,Timna[12],125
364,Shobal,136
365,Alian,126
366,Manahath,127
367,Ebal,128
368,Shephi,129
369,Onam,130
370,Zibeon,137
371,Aiah,131
372,Anah,132
373,Anah,138
374,Dishon,133
375,Hamran,134
376,Eshban,135
377,Ithran,136
378,Cheran,137
379,Dishon[13],139
380,Ezer,140
381,Bilhan,138
382,Zaavan,139
383,Jaakan,140
384,Dishan,141
385,Uz,141
386,Aran,142
